Symbol, total_return       , sharpe_ratio       , max_drawdown      , num_trades, win_rate
AAPL  , 0.0560957125333361 , 0.7543523679267199 , 0.0407728338040831,          4, 0.5
NVDA  , -0.2164690167174113, -0.647133769492834 , 0.4022621754013612,         44, 0.3181818181818182
MSFT  , -0.0048667592136389, 0.0378402748146127 , 0.1006490339631461,         12, 0.3333333333333333
META  , 0.0                , 0.0                , 0.0               ,          0, 0.0
GOOGL , 0.0                , 0.0                , 0.0               ,          0, 0.0
AVGO  , -0.0013846049504398, 0.2050520198328901 , 0.2304734395187755,         31, 0.3548387096774194
GOOG  , 0.0                , 0.0                , 0.0               ,          0, 0.0
JPM   , 0.0                , 0.0                , 0.0               ,          0, 0.0
LLY   , -0.0258922313807899, -1.2792042981336622, 0.0258922313807899,          1, 0.0
V     , 0.0                , 0.0                , 0.0               ,          0, 0.0
COST  , 0.0                , 0.0                , 0.0               ,          0, 0.0
MA    , 0.155986060681128  , 1.233235773219668  , 0.0436337302583817,         13, 0.4615384615384615
UNH   , 0.0510986203372509 , 1.2792042981336618 , 0.0               ,          1, 1.0
WMT   , 0.4817768845532267 , 2.9248650458819183 , 0.0337818459676656,         11, 0.7272727272727273
PG    , -0.0090682377527011, -0.0506492127056078, 0.0761907022515347,          7, 0.2857142857142857
JNJ   , 0.0                , 0.0                , 0.0               ,          0, 0.0
HD    , 0.0                , 0.0                , 0.0               ,          0, 0.0
ABBV  , 0.0                , 0.0                , 0.0               ,          0, 0.0
BAC   , 0.0                , 0.0                , 0.0               ,          0, 0.0
CRM   , 0.0                , 0.0                , 0.0               ,          0, 0.0
MMM   , 0.0589072145266458 , 1.2792042981336624 , 0.0               ,          1, 1.0
